bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female
Black-throated Green Warbler,--F--FR,,https://ebird.org/species/btnwar,https://en.wikipedia.org/wiki/Black-throated_green_warbler,https://www.allaboutbirds.org/guide/Black-throated_Green_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31504211-1280px.jpg,https://macaulaylibrary.org/audio/105403,,https://upload.wikimedia.org/wikipedia/commons/d/d2/Black-throated_Green_Warbler_by_Dan_Pancamo.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Black-throated_Green_Warbler_by_Dan_Pancamo_2.jpg
Canada Warbler,--U--U-,,https://ebird.org/species/canwar,https://en.wikipedia.org/wiki/Canada_warbler,https://www.allaboutbirds.org/guide/Canada_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31913261-1280px.jpg,https://macaulaylibrary.org/audio/77094,,https://upload.wikimedia.org/wikipedia/commons/b/b1/8G7D5475-Canada.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Canada_Warbler_on_Bough.jpg
Wilson's Warbler,--U--U-,https://upload.wikimedia.org/wikipedia/commons/8/85/Wilsonia_pusilla.jpg,https://ebird.org/species/wlswar,https://en.wikipedia.org/wiki/Wilson's_warbler,https://www.allaboutbirds.org/guide/Wilsons_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/32008981-1280px.jpg,https://macaulaylibrary.org/asset/126446,,,
Summer Tanager,--RRRX-,,https://ebird.org/species/sumtan/,https://en.wikipedia.org/wiki/Summer_tanager,https://www.allaboutbirds.org/guide/Summer_Tanager/id,https://www.allaboutbirds.org/guide/assets/photo/31745821-1280px.jpg,https://macaulaylibrary.org/audio/40575,,https://upload.wikimedia.org/wikipedia/commons/0/09/Summer_Tanager_male_hephzibah.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/Female_Summer_Tanager_%287093902581%29.jpg
Scarlet Tanager,--FRRUR,,https://ebird.org/species/scatan,https://en.wikipedia.org/wiki/Scarlet_tanager,https://www.allaboutbirds.org/guide/Scarlet_Tanager/id,https://www.allaboutbirds.org/guide/assets/photo/32252581-1280px.jpg,https://macaulaylibrary.org/audio/85102,,https://upload.wikimedia.org/wikipedia/commons/1/1c/7Z1E5997a.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/ScarletTanager_mosbo6.jpg
Northern Cardinal,CCCCCCC,,https://ebird.org/species/norcar,https://en.wikipedia.org/wiki/Northern_cardinal,https://www.allaboutbirds.org/guide/Northern_Cardinal/id,https://www.allaboutbirds.org/guide/assets/photo/32322661-1280px.jpg,https://macaulaylibrary.org/audio/49062,,https://upload.wikimedia.org/wikipedia/commons/d/da/Cardinal.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Cardinalis_cardinalis_-Florida%2C_USA_-female-8.jpg
Rose-breasted Grosbeak,-RFUUFR,,https://ebird.org/species/robgro,https://en.wikipedia.org/wiki/Rose-breasted_grosbeak,https://www.allaboutbirds.org/guide/Rose-breasted_Grosbeak/id,https://www.allaboutbirds.org/guide/assets/photo/31946841-1280px.jpg,https://macaulaylibrary.org/audio/107970,,https://upload.wikimedia.org/wikipedia/commons/d/d3/RosebreastedGrosbeak08.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Pheucticus_ludovicianus_CT2.jpg
Blue Grosbeak,--RRRX-,,https://ebird.org/species/blugrb1/,https://en.wikipedia.org/wiki/Blue_grosbeak,https://www.allaboutbirds.org/guide/Blue_Grosbeak/id,https://www.allaboutbirds.org/guide/assets/photo/31964511-1280px.jpg,https://macaulaylibrary.org/audio/40513,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Blue_Grosbeak_by_Dan_Pancamo.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Blue_Grosbeak_female_RWD2.jpg
Indigo Bunting,--CCCFU,https://upload.wikimedia.org/wikipedia/commons/6/62/Passerina_cyaneaAAP086CA.jpg,https://ebird.org/species/indbun,https://en.wikipedia.org/wiki/Indigo_bunting,https://www.allaboutbirds.org/guide/Indigo_Bunting/id,https://www.allaboutbirds.org/guide/assets/photo/32313801-1280px.jpg,"['https://macaulaylibrary.org/asset/79477', 'https://macaulaylibrary.org/asset/534506']",,,
Dickcissel,--FFFX-,https://upload.wikimedia.org/wikipedia/commons/2/26/DickcisselA.jpg,https://ebird.org/species/dickci/,https://en.wikipedia.org/wiki/Dickcissel,https://www.allaboutbirds.org/guide/Dickcissel/id,https://www.allaboutbirds.org/guide/assets/photo/31947701-1280px.jpg,https://macaulaylibrary.org/asset/42396,,,
